label;text;context
1;my ancestors helped settle america. they came from england, ireland, scotland, germany, switzerland and france to build a paradise. don t let the muslim invasion happen here! the only thing necessary for the triumph of evil is for good men to do nothing. edmund burke;anti muslim post on gab
1;i m here to fight for my people and to awakened the faustian spirit of every european, pro white european. i don t care if i hurt your feelings, the truth is the truth and the truth needs no law to protect it.i follow back.bitchute channel account suspended;white supremacist post on gab
1;islamification is taking place in europe, canada, usa, australia, new zealand, india as we speak.either we fight for our freedom now, or we ll lose it forever.;ant muslim post on gab
1;breed, breed, breed and be on the public dole!india islamic scholars say polygamy and nikah halala based on qur an and hadith, non muslims can t challenge them;anti muslim post on gab
1;learn names of things you have been through. halakha, amalek, inundate, anomia, dissonance, loxism, vitriolic, white genocide, anglophobia, misandrianism, misanthropic ,intransigent, vexatious,pacifist, elucidate, atavistic, attrition, exculpatory, reciprocity. white genocide the diversity experiment.jew owned private federal reserve bank company name chosen to make you believe it s an extension of the us gov when it s not their secret weapon everytime secure a future for white children;white supremacist post on gab
1;if you worship your enemy, you are defeated. if you adopt your enemy s religion, you are enslaved. if you breed with your enemy, you are destroyed. polydoros of spartathee midniters brother where are you fanclub planets;polydoros quote used to justify pro white/anti other actions
1;26. present homosexuality, degeneracy and promiscuity as normal, natural, healthy.;list of things poster has deemed wrong
0;dunno what was wrong with the fucking delivery driver this morning. he was all smiles until i signed his touch screen ipad type thing, then he got all shouty and mad.... i was so scared i dropped my permanent marker and slammed the door.;funny joke
0;spoilers this is an humanity fuck yeah;unsure of context
0;let no man pull you low enough to hate him. martin luther king jr;mlk quote that is good in isolation
0;bitch don t kill my vibe;kendrick lamar song lyrics
0;nah fuck bungie they ain t givng me nno drops. stingy ass niggas. rt you trash at destiny if you aint at least 25;complaining about destiny video game
0;lmfaooooo bye american sports trash. soccer and hockey the best sports.;banter about which sports are best
0;rt 1, 2, 3, 4... how many niggers are in my store, i knooooooow your stealing!;video posted by black teens on how they were followed around a store
0;word up doe! gm rt good morning....it s a celebration bitches!;celebrating morning
0;i like bad bitches thats my fucking problem;asap rocky song lyrics, slightly off
0;lakers are trash;calling lakers basketball team bad
1;rt i don t care tho cracker;this is probably bad
1;kleopatra ivory skinned nubile kleopatra fingers her shavedpussy;pornographic
1;sweet and innocent schoolgirl minami asakas pussyeaten;pornographic
